"Trade ID","Entity","Counterparty","Trade Date","Effective Date","Maturity Date","Currency","Notional 1","Pay/Receive 1","Interest Type 1","Current Period IR Rate 1","Index 1","Current Period IR Spread 1","Currency 2","Notional 2","Pay/Receive 2","Interest Type 2","Current Period IR Rate 2","Index 2","Current Period IR Spread 2","Settlements -Interest","Total NPV","Trade Description"
"20901","S-GLP PTE LTD","1-S-CITIBANK NA - SG","2018-09-18","2018-09-20","2025-09-16","JPY","30000000000","Pay","Fixed","0.0036","","","JPY","30000000000","Receive","Floating","0.00029","3M-EUROYEN-TIBOR","0","-70282900","-672853117","7.0 YR SWAP: PAY 0.36000% JPY RCV 3M EUROYEN-TIBOR 0.00% FLOOR JPY 30000.0 M MAT: 16-SEP-2025"
"20902","S-GLP PTE LTD","1-S-UNITED OVERSEAS BANK","2018-09-18","2018-09-20","2022-09-15","JPY","5000000000","Receive","Floating","0.00029","3M-EUROYEN-TIBOR","0","JPY","5000000000","Pay","Fixed","0.00225","","","-6726317","-54521297","4.0 YR SWAP: RCV 3M EUROYEN-TIBOR JPY PAY 0.22500% JPY 5000.0 M MAT: 15-SEP-2022"
"20903","S-GLP PTE LTD","1-S-UNITED OVERSEAS BANK","2018-09-18","2018-09-20","2023-09-13","JPY","10000000000","Receive","Floating","0.00029","3M-EUROYEN-TIBOR","0","JPY","10000000000","Pay","Fixed","0.0027","","","-16777634","-161882023","5.0 YR SWAP: RCV 3M EUROYEN-TIBOR JPY PAY 0.27000% JPY 10000.0 M MAT: 13-SEP-2023"
"20904","S-GLP PTE LTD","1-S-CITIBANK NA - SG","2018-09-18","2018-09-20","2024-09-18","JPY","10000000000","Pay","Fixed","0.0031","","","JPY","10000000000","Receive","Floating","0.00029","3M-EUROYEN-TIBOR","0","-19733189","-164640867","6.0 YR SWAP: PAY 0.31000% JPY RCV 3M EUROYEN-TIBOR 0.00% FLOOR JPY 10000.0 M MAT: 18-SEP-2024"
"20905","S-GLP PTE LTD","1-S-CITIBANK NA - SG","2018-09-18","2018-09-20","2023-09-15","JPY","5000000000","Pay","Fixed","0.0027","","","JPY","5000000000","Receive","Floating","0.00029","3M-EUROYEN-TIBOR","0","-8388817","-57694029","5.0 YR SWAP: PAY 0.27000% JPY RCV 3M EUROYEN-TIBOR 0.00% FLOOR JPY 5000.0 M MAT: 15-SEP-2023"
